# Provenance: Unicode 17.0.0 DerivedGeneralCategory.txt
# Source: https://www.unicode.org/Public/17.0.0/ucd/extracted/DerivedGeneralCategory.txt
# SHA-256: d62e5bab70ca74f099343f71224fa051cb1fdd61a1ab45c0488c44cfc0b6102e
# Records: 825 pairs (1650 elements)
0102A0 0102D0
0102E0 0102FB
010300 010323
01032D 01034A
010350 01037A
010380 01039D
0103A0 0103C3
0103C8 0103CF
0103D1 0103D5
010400 01049D
0104A0 0104A9
0104B0 0104D3
0104D8 0104FB
010500 010527
010530 010563
010570 01057A
01057C 01058A
01058C 010592
010594 010595
010597 0105A1
0105A3 0105B1
0105B3 0105B9
0105BB 0105BC
0105C0 0105F3
010600 010736
010740 010755
010760 010767
010780 010785
010787 0107B0
0107B2 0107BA
010800 010805
010808 010808
01080A 010835
010837 010838
01083C 01083C
01083F 010855
010858 010876
010879 01089E
0108A7 0108AF
0108E0 0108F2
0108F4 0108F5
0108FB 01091B
010920 010939
010940 010959
010980 0109B7
0109BC 0109CF
0109D2 010A03
010A05 010A06
010A0C 010A13
010A15 010A17
010A19 010A35
010A38 010A3A
010A3F 010A48
010A60 010A7E
010A80 010A9F
010AC0 010AC7
010AC9 010AE6
010AEB 010AEF
010B00 010B35
010B40 010B55
010B58 010B72
010B78 010B91
010BA9 010BAF
010C00 010C48
010C80 010CB2
010CC0 010CF2
010CFA 010D27
010D30 010D39
010D40 010D65
010D69 010D6D
010D6F 010D85
010E60 010E7E
010E80 010EA9
010EAB 010EAC
010EB0 010EB1
010EC2 010EC7
010EFA 010F27
010F30 010F54
010F70 010F85
010FB0 010FCB
010FE0 010FF6
011000 011046
011052 011075
01107F 0110BA
0110C2 0110C2
0110D0 0110E8
0110F0 0110F9
011100 011134
011136 01113F
011144 011147
011150 011173
011176 011176
011180 0111C4
0111C9 0111CC
0111CE 0111DA
0111DC 0111DC
0111E1 0111F4
011200 011211
011213 011237
01123E 011241
011280 011286
011288 011288
01128A 01128D
01128F 01129D
01129F 0112A8
0112B0 0112EA
0112F0 0112F9
011300 011303
011305 01130C
01130F 011310
011313 011328
01132A 011330
011332 011333
011335 011339
01133B 011344
011347 011348
01134B 01134D
011350 011350
011357 011357
01135D 011363
011366 01136C
011370 011374
011380 011389
01138B 01138B
01138E 01138E
011390 0113B5
0113B7 0113C0
0113C2 0113C2
0113C5 0113C5
0113C7 0113CA
0113CC 0113D3
0113E1 0113E2
011400 01144A
011450 011459
01145E 011461
011480 0114C5
0114C7 0114C7
0114D0 0114D9
011580 0115B5
0115B8 0115C0
0115D8 0115DD
011600 011640
011644 011644
011650 011659
011680 0116B8
0116C0 0116C9
0116D0 0116E3
011700 01171A
01171D 01172B
011730 01173B
011740 011746
011800 01183A
0118A0 0118F2
0118FF 011906
011909 011909
01190C 011913
011915 011916
011918 011935
011937 011938
01193B 011943
011950 011959
0119A0 0119A7
0119AA 0119D7
0119DA 0119E1
0119E3 0119E4
011A00 011A3E
011A47 011A47
011A50 011A99
011A9D 011A9D
011AB0 011AF8
011B60 011B67
011BC0 011BE0
011BF0 011BF9
011C00 011C08
011C0A 011C36
011C38 011C40
011C50 011C6C
011C72 011C8F
011C92 011CA7
011CA9 011CB6
011D00 011D06
011D08 011D09
011D0B 011D36
011D3A 011D3A
011D3C 011D3D
011D3F 011D47
011D50 011D59
011D60 011D65
011D67 011D68
011D6A 011D8E
011D90 011D91
011D93 011D98
011DA0 011DA9
011DB0 011DDB
011DE0 011DE9
011EE0 011EF6
011F00 011F10
011F12 011F3A
011F3E 011F42
011F50 011F5A
011FB0 011FB0
011FC0 011FD4
012000 012399
012400 01246E
012480 012543
012F90 012FF0
013000 01342F
013440 013455
013460 0143FA
014400 014646
016100 016139
016800 016A38
016A40 016A5E
016A60 016A69
016A70 016ABE
016AC0 016AC9
016AD0 016AED
016AF0 016AF4
016B00 016B36
016B40 016B43
016B50 016B59
016B5B 016B61
016B63 016B77
016B7D 016B8F
016D40 016D6C
016D70 016D79
016E40 016E96
016EA0 016EB8
016EBB 016ED3
016F00 016F4A
016F4F 016F87
016F8F 016F9F
016FE0 016FE1
016FE3 016FE4
016FF0 016FF6
017000 018CD5
018CFF 018D1E
018D80 018DF2
01AFF0 01AFF3
01AFF5 01AFFB
01AFFD 01AFFE
01B000 01B122
01B132 01B132
01B150 01B152
01B155 01B155
01B164 01B167
01B170 01B2FB
01BC00 01BC6A
01BC70 01BC7C
01BC80 01BC88
01BC90 01BC99
01BC9D 01BC9E
01CCF0 01CCF9
01CF00 01CF2D
01CF30 01CF46
01D165 01D169
01D16D 01D172
01D17B 01D182
01D185 01D18B
01D1AA 01D1AD
01D242 01D244
01D2C0 01D2D3
01D2E0 01D2F3
01D360 01D378
01D400 01D454
01D456 01D49C
01D49E 01D49F
01D4A2 01D4A2
01D4A5 01D4A6
01D4A9 01D4AC
01D4AE 01D4B9
01D4BB 01D4BB
01D4BD 01D4C3
01D4C5 01D505
01D507 01D50A
01D50D 01D514
01D516 01D51C
01D51E 01D539
01D53B 01D53E
01D540 01D544
01D546 01D546
01D54A 01D550
01D552 01D6A5
01D6A8 01D6C0
01D6C2 01D6DA
01D6DC 01D6FA
01D6FC 01D714
01D716 01D734
01D736 01D74E
01D750 01D76E
01D770 01D788
01D78A 01D7A8
01D7AA 01D7C2
01D7C4 01D7CB
01D7CE 01D7FF
01DA00 01DA36
01DA3B 01DA6C
01DA75 01DA75
01DA84 01DA84
01DA9B 01DA9F
01DAA1 01DAAF
01DF00 01DF1E
01DF25 01DF2A
01E000 01E006
01E008 01E018
01E01B 01E021
01E023 01E024
01E026 01E02A
01E030 01E06D
01E08F 01E08F
01E100 01E12C
01E130 01E13D
01E140 01E149
01E14E 01E14E
01E290 01E2AE
01E2C0 01E2F9
01E4D0 01E4F9
01E5D0 01E5FA
01E6C0 01E6DE
01E6E0 01E6F5
01E6FE 01E6FF
01E7E0 01E7E6
01E7E8 01E7EB
01E7ED 01E7EE
01E7F0 01E7FE
01E800 01E8C4
01E8C7 01E8D6
01E900 01E94B
01E950 01E959
01EC71 01ECAB
01ECAD 01ECAF
01ECB1 01ECB4
01ED01 01ED2D
01ED2F 01ED3D
01EE00 01EE03
01EE05 01EE1F
01EE21 01EE22
01EE24 01EE24
01EE27 01EE27
01EE29 01EE32
01EE34 01EE37
01EE39 01EE39
01EE3B 01EE3B
01EE42 01EE42
01EE47 01EE47
01EE49 01EE49
01EE4B 01EE4B
01EE4D 01EE4F
01EE51 01EE52
01EE54 01EE54
01EE57 01EE57
01EE59 01EE59
01EE5B 01EE5B
01EE5D 01EE5D
01EE5F 01EE5F
01EE61 01EE62
01EE64 01EE64
01EE67 01EE6A
01EE6C 01EE72
01EE74 01EE77
01EE79 01EE7C
01EE7E 01EE7E
01EE80 01EE89
01EE8B 01EE9B
01EEA1 01EEA3
01EEA5 01EEA9
01EEAB 01EEBB
01F100 01F10C
01FBF0 01FBF9
020000 02A6DF
02A700 02B81D
02B820 02CEAD
02CEB0 02EBE0
02EBF0 02EE5D
02F800 02FA1D
030000 03134A
031350 033479
0E0100 0E01EF
